held_out,strategy,mean_arcface,scores,nearest,nearest_sim
Idris Elba,high_identity_only,0.4966789364814758,"[0.4734639525413513, 0.5641047954559326, 0.5794659852981567, 0.4653105139732361, 0.4010494351387024]",Dave Chappelle,0.6596987247467041
Benedict Cumberbatch,all_positions,0.3913497865200043,"[0.44304993748664856, 0.37583470344543457, 0.36677679419517517, 0.393882691860199, 0.3772048056125641]",Harrison Ford,0.44511058926582336
Benedict Cumberbatch,name_tokens_only,0.39816513657569885,"[0.4168725907802582, 0.38790345191955566, 0.4101102352142334, 0.40504688024520874, 0.3708925247192383]",Harrison Ford,0.44511058926582336
Benedict Cumberbatch,high_identity_only,0.3807223796844482,"[0.41383934020996094, 0.3766975402832031, 0.39043211936950684, 0.34911373257637024, 0.3735291659832001]",Harrison Ford,0.44511058926582336
Oscar Isaac,all_positions,0.4841987073421478,"[0.5753971338272095, 0.45722895860671997, 0.40678176283836365, 0.5294861197471619, 0.4520995616912842]",Javier Bardem,0.6334163546562195
Oscar Isaac,name_tokens_only,0.46724098920822144,"[0.5252833366394043, 0.35775554180145264, 0.4548947215080261, 0.5232487320899963, 0.4750226140022278]",Javier Bardem,0.6334163546562195
Oscar Isaac,high_identity_only,0.5080767095088958,"[0.5030335187911987, 0.5915794968605042, 0.5195558667182922, 0.48484280705451965, 0.4413718581199646]",Javier Bardem,0.6334163546562195
Dev Patel,all_positions,0.375090229511261,"[0.3502361476421356, 0.33356672525405884, 0.3606953024864197, 0.4332122802734375, 0.3977406919002533]",Riz Ahmed,0.8594905734062195
Dev Patel,name_tokens_only,0.4595834195613861,"[0.454947292804718, 0.5123063325881958, 0.43878915905952454, 0.5409086346626282, 0.350965678691864]",Riz Ahmed,0.8594905734062195
Dev Patel,high_identity_only,0.7247667789459229,"[0.6961636543273926, 0.7867993116378784, 0.7084025144577026, 0.7219796180725098, 0.7104887962341309]",Riz Ahmed,0.8594905734062195

